,artist_name,track_name,track_id,popularity,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,beat_duration,tatum_duration
1890,Burna Boy,Gbona,7rpWDu9GPlLxbLorYKVys7,74,Dancehall,2019,0.798,0.813,4,-5.869,0,0.162,0.564,0.000141,0.108,0.942,93.912,187609,4,2.5443576388888887,0.3204658448275862
1891,Charly Black,Gyal You A Party Animal,7rj8aNwZqTvrUeLlAyNWtZ,65,Dancehall,2016,0.588,0.841,0,-5.138,1,0.0932,0.026,0.0,0.33,0.871,134.577,214867,5,1.8754853982300885,0.23715334075723832
1892,Olamide,Loading (feat. Bad Boy Timz),558ULLj8yY2vT8XGtgY0q9,63,Dancehall,2020,0.937,0.797,2,-4.768,0,0.206,0.0733,0.000835,0.147,0.64,120.001,194000,4,1.9916336458333335,0.2502554569190601
1893,Timaya,Cold Outside,2jZ2MrAk8iNZk1dsI0Vr5z,64,Dancehall,2021,0.737,0.663,11,-6.981,0,0.101,0.287,0.0508,0.523,0.839,98.014,181224,4,2.416071351351351,0.3063630034129693
1894,Collie Buddz,Come Around,1a64u7QtJ9yDwpNyfDrZTj,53,Dancehall,2007,0.497,0.786,1,-6.05,0,0.322,0.0144,0.0,0.638,0.736,152.982,221507,4,1.6470402255639098,0.20656576779026217
1895,Stefflon Don,Hurtin' Me,76IkF7pA7RscjDTvOFT4vb,62,Dancehall,2017,0.535,0.794,0,-4.933,1,0.161,0.102,1.52e-05,0.144,0.799,203.712,212815,4,1.1937529545454546,0.14754903361344537
1896,Charly Black,Gyal You A Party Animal - Remix,0Rj2yNpEvXOl8yn9UOuIRs,65,Dancehall,2016,0.729,0.894,0,-4.054,1,0.0798,0.0612,0.0,0.36,0.757,101.053,224320,4,2.3703895698924726,0.29712458445040213
1897,WizKid,Blessed (feat. Damian Marley),3QO1m6i0nsrp8aOnapvbkx,61,Dancehall,2020,0.612,0.651,1,-6.974,0,0.281,0.0864,0.0,0.368,0.902,90.272,262973,4,2.613715656565657,0.33189806329113924
1898,Koffee,W (feat. Gunna),6xW2g0c5uSoa3S6xk9eI4j,60,Dancehall,2019,0.856,0.721,6,-6.813,0,0.0779,0.178,2.14e-05,0.0913,0.902,100.98,230151,4,2.3576701041666666,0.29703277202072537
1899,WizKid,Joro,3Yt1ovsh3v3VEzRuhI1TL5,66,Dancehall,2019,0.686,0.694,7,-3.693,0,0.257,0.253,0.000904,0.109,0.587,189.998,262737,4,1.2510926794258375,0.15769141826923075
1900,Tiwa Savage,Somebody’s Son (Ft Brandy),3Z9B9GQ2fFx4IRCG8bbWys,60,Dancehall,2021,0.705,0.809,5,-4.484,1,0.068,0.145,5.75e-05,0.216,0.508,107.21,218131,4,2.2447391397849463,0.2797541798941799
